iter	Passed	Remaining
0	4212	2102139
1	8345	2078048
2	12428	2059061
3	16727	2074181
4	20756	2054846
5	25286	2081886
6	29650	2088276
7	33878	2083511
8	38129	2080154
9	42286	2072048
10	47185	2097626
11	51485	2093763
12	55782	2089714
13	60132	2087472
14	64394	2082090
15	69123	2090988
16	74738	2123448
17	82645	2213060
18	88113	2230673
19	93543	2245048
20	98685	2250967
21	103917	2257854
22	109462	2270165
23	114658	2274065
24	119688	2274072
25	124001	2260650
26	128300	2247643
27	132881	2240006
28	137738	2237058
29	142036	2225238
30	146226	2212270
31	150444	2200256
32	154836	2191166
33	159157	2181396
34	164103	2180226
35	169786	2188356
36	174206	2179937
37	178951	2175675
38	183304	2166752
39	187729	2158893
40	192365	2153557
41	196541	2143239
42	200604	2132009
43	204672	2121148
44	208946	2112677
45	212942	2101645
46	217197	2093417
47	221491	2085713
48	225553	2076015
49	229700	2067303
50	233894	2059190
51	237913	2049713
52	242122	2042054
53	246418	2035237
54	250792	2029142
55	255129	2022812
56	259328	2015482
57	263316	2006656
58	267997	2003164
59	272270	1996648
60	276448	1989519
61	281447	1988289
62	286158	1984943
63	290902	1981775
64	295759	1979316
65	301045	1979604
66	305358	1973435
67	309574	1966708
68	313861	1960497
69	318018	1953540
70	322207	1946859
71	326406	1940305
72	331016	1936218
73	336602	1937736
74	340813	1931276
75	346472	1932951
76	351960	1933495
77	357072	1931854
78	361767	1927900
79	366949	1926486
80	371972	1924154
81	377451	1924084
82	382628	1922360
83	387002	1916584
84	391687	1912358
85	396906	1910687
86	401822	1907501
87	406129	1901425
88	410176	1894185
89	415950	1894887
90	424283	1906946
91	429281	1903772
92	434194	1900183
93	438728	1894935
94	442917	1888228
95	447116	1881614
96	451359	1875236
97	455647	1869085
98	459848	1862617
99	464324	1857298
100	468590	1851164
101	473128	1846127
102	477296	1839676
103	481581	1833713
104	485623	1826868
105	490053	1821519
106	494316	1815574
107	498648	1809907
108	502674	1803172
109	507037	1797676
110	511129	1791254
111	515180	1784732
112	519228	1778243
113	523621	1772962
114	527939	1767449
115	532305	1762114
116	536542	1756374
117	540765	1750612
118	545053	1745086
119	549527	1740171
120	554073	1735486
121	558294	1729796
122	562557	1724263
123	566534	1717879
124	570581	1711743
125	574757	1706026
126	578848	1700084
127	583064	1694531
128	589934	1696633
129	595579	1695109
130	599855	1689669
131	604077	1684094
132	608448	1678952
133	612548	1673081
134	616841	1667756
135	621028	1662164
136	625036	1656119
137	629023	1650047
138	633246	1644618
139	637461	1639187
140	641712	1633864
141	645858	1628290
142	650371	1623654
143	654886	1619025
144	658898	1613166
145	663145	1607899
146	667407	1602685
147	671641	1597418
148	676003	1592465
149	680181	1587089
150	684343	1581693
151	688396	1576065
152	692631	1570871
153	696782	1565498
154	700792	1559829
155	704851	1554288
156	709190	1549377
157	714215	1545960
158	719072	1542160
159	725115	1540870
